City_ID,City,Country,Lat,Lng,Max Temp,Percent Humidity,Precent Cloudiness,Wind Speed,Current Description
118,Avarua,CK,-21.2078,-159.775,75.25,94,99,2.3,overcast clouds
119,Olga,RU,43.7444,135.2892,17.46,85,39,4.09,scattered clouds
120,Paracuru,BR,-3.41,-39.0306,83.1,63,63,11.61,broken clouds
121,Rikitea,PF,-23.1203,-134.9692,78.75,67,3,16.31,clear sky
122,Pedro Ii,BR,-4.4247,-41.4586,76.87,75,84,2.66,broken clouds
123,Datong,CN,40.0936,113.2914,21.7,52,2,4.14,clear sky
124,Westport,US,41.1415,-73.3579,46.09,54,0,4.0,clear sky
125,Dunedin,NZ,-45.8742,170.5036,59.81,99,100,5.01,light rain
126,Bluff,NZ,-46.6,168.3333,59.81,97,98,5.5,overcast clouds
127,Arraial Do Cabo,BR,-22.9661,-42.0278,68.77,91,100,2.13,overcast clouds
128,Nikolskoye,RU,59.7035,30.7861,35.71,95,57,8.12,broken clouds
129,Gamba,GA,-2.65,10.0,78.76,88,63,8.21,broken clouds
130,Hudiksvall,SE,61.729,17.1036,34.54,73,72,12.68,broken clouds
131,Port Hawkesbury,CA,45.6169,-61.3485,33.39,90,100,20.71,overcast clouds
132,Roma,US,43.2128,-75.4557,42.87,56,0,12.66,clear sky
133,Laguna,US,38.421,-121.4238,67.24,73,0,1.01,clear sky
134,Esil,KZ,51.9556,66.4042,11.3,91,88,9.08,overcast clouds
135,Dikson,RU,73.5069,80.5464,0.05,94,99,21.45,overcast clouds
136,Faanui,PF,-16.4833,-151.75,81.14,77,66,16.46,broken clouds
137,Mahebourg,MU,-20.4081,57.7,77.29,83,40,4.61,light intensity shower rain
138,Dudinka,RU,69.4058,86.1778,-8.46,97,92,19.22,light snow
139,Mataura,NZ,-46.1927,168.8643,59.49,99,100,1.88,overcast clouds
140,Acapulco,MX,16.8634,-99.8901,82.29,53,1,6.71,clear sky
141,Kruisfontein,ZA,-34.0033,24.7314,68.88,81,0,4.88,clear sky
142,Kutum,SD,14.2,24.6667,65.75,12,5,9.46,clear sky
143,Nome,US,64.5011,-165.4064,-9.33,77,100,8.05,overcast clouds
144,Baykit,RU,61.67,96.37,-9.42,98,100,2.51,overcast clouds
145,Saint George,US,37.1041,-113.5841,60.35,22,59,2.8,broken clouds
146,Merritt,CA,50.1123,-120.7942,35.46,94,97,3.06,overcast clouds
147,Providencia,MX,28.7167,-111.5833,76.86,25,23,3.6,few clouds
148,Quzhou,CN,28.9594,118.8686,40.39,97,100,2.39,overcast clouds
149,Kodiak,US,57.79,-152.4072,24.31,63,40,20.71,scattered clouds
150,Khatanga,RU,71.9667,102.5,-0.96,91,100,15.37,overcast clouds
151,Fairbanks,US,64.8378,-147.7164,-6.39,74,100,3.44,haze
152,Sao Filipe,CV,14.8961,-24.4956,77.72,57,1,4.61,clear sky
153,Vaini,TO,-21.2,-175.2,80.35,82,81,15.21,light rain
154,Nanortalik,GL,60.1432,-45.2371,22.57,62,61,3.94,broken clouds
155,Ayna,PE,-12.65,-73.9167,79.3,79,90,4.45,overcast clouds
156,Waingapu,ID,-9.6567,120.2641,79.07,84,100,5.3,overcast clouds
157,Wonthaggi,AU,-38.6044,145.5913,64.71,89,74,6.93,broken clouds
158,Dhidhdhoo,MV,6.8833,73.1,81.34,74,72,10.25,broken clouds
159,Visby,SE,57.6409,18.296,41.05,87,0,20.71,clear sky
160,Miri,MY,4.4148,114.0089,77.34,92,100,5.7,overcast clouds
161,Ilovlya,RU,49.3033,43.9796,34.9,99,100,4.45,light snow
162,College,US,64.8569,-147.8028,-6.41,76,100,3.44,light snow
163,Qaanaaq,GL,77.484,-69.3632,-20.76,78,93,5.03,overcast clouds
164,Nuuk,GL,64.1835,-51.7216,21.81,93,100,44.0,snow
165,Marzuq,YE,14.4,46.4667,63.39,41,0,0.11,clear sky
166,Port Lincoln,AU,-34.7333,135.8667,61.2,72,95,6.51,overcast clouds
167,Majene,ID,-3.5403,118.9707,77.25,89,100,9.31,light rain
168,Villa Alemana,CL,-33.0422,-71.3733,94.05,50,14,10.0,few clouds
169,Meulaboh,ID,4.1363,96.1285,73.63,88,99,6.85,overcast clouds
170,Akdepe,TM,42.0551,59.3788,30.2,75,3,11.14,clear sky
171,Kaitangata,NZ,-46.2817,169.8464,58.6,99,100,9.31,overcast clouds
172,Pevek,RU,69.7008,170.3133,-31.49,99,100,5.68,overcast clouds
173,Puerto Ayora,EC,-0.7393,-90.3518,76.89,70,40,9.66,scattered clouds
174,Barstow,US,34.8986,-117.0228,68.63,19,0,4.45,clear sky
175,Manaus,BR,-3.1019,-60.025,82.89,78,75,6.91,broken clouds
176,Hermanus,ZA,-34.4187,19.2345,68.81,82,1,13.6,clear sky
177,Pineville,US,31.3224,-92.4343,64.87,34,0,8.05,clear sky
178,Hambantota,LK,6.1241,81.1185,75.79,78,58,5.32,broken clouds
179,Saint-Joseph,RE,-21.3667,55.6167,75.58,80,99,8.28,overcast clouds
180,Mantua,IT,45.1667,10.7833,51.71,78,4,1.99,clear sky
181,Asyut,EG,27.181,31.1837,56.57,33,0,13.18,clear sky
182,Ponta Delgada,PT,37.7333,-25.6667,65.5,72,20,14.97,few clouds
183,High Rock,BS,26.6208,-78.2833,68.02,80,35,10.98,scattered clouds
184,Pangody,RU,65.85,74.4859,-3.15,96,21,11.95,few clouds
185,Goderich,CA,43.7501,-81.7165,39.9,97,97,15.39,overcast clouds
186,Prince Rupert,CA,54.3161,-130.3201,46.49,93,100,19.57,moderate rain
