City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
117,Butaritari,KI,81.64,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
118,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
120,Paracuru,BR,83.1,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
121,Rikitea,PF,78.75,clear sky,-23.1203,-134.9692,People ThankYou
122,Pedro Ii,BR,76.87,broken clouds,-4.4247,-41.4586,Opala Hotel
129,Gamba,GA,78.76,broken clouds,-2.65,10.0,
136,Faanui,PF,81.14,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
137,Mahebourg,MU,77.29,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
140,Acapulco,MX,82.29,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
147,Providencia,MX,76.86,few clouds,28.7167,-111.5833,
152,Sao Filipe,CV,77.72,clear sky,14.8961,-24.4956,Hotel Xaguate
153,Vaini,TO,80.35,light rain,-21.2,-175.2,Keleti Beach Resort
155,Ayna,PE,79.3,overcast clouds,-12.65,-73.9167,
156,Waingapu,ID,79.07,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
158,Dhidhdhoo,MV,81.34,broken clouds,6.8833,73.1,Dhidhoo beach
160,Miri,MY,77.34,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
167,Majene,ID,77.25,light rain,-3.5403,118.9707,Kost Putri RABBANI
169,Meulaboh,ID,73.63,overcast clouds,4.1363,96.1285,Kost Pria
173,Puerto Ayora,EC,76.89,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
175,Manaus,BR,82.89,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
178,Hambantota,LK,75.79,broken clouds,6.1241,81.1185,Bungalow 63
179,Saint-Joseph,RE,75.58,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
190,Artesia,US,84.18,clear sky,33.8658,-118.0831,Days Inn & Suites by Wyndham Artesia
193,Lompoc,US,81.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
198,Alice Springs,AU,74.75,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
199,Poum,NC,81.23,overcast clouds,-20.2333,164.0167,
202,Trairi,BR,84.47,broken clouds,-3.2778,-39.2689,janelas do mar
204,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
208,Namibe,AO,74.93,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
209,Parintins,BR,83.35,overcast clouds,-2.6283,-56.7358,Cama e Cafe
210,Sao Bernardo,BR,83.21,broken clouds,-3.3614,-42.4178,Hotel Prado
216,Mopipi,BW,84.29,few clouds,-21.1833,24.8833,
218,San Patricio,US,71.69,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
219,Acarau,BR,84.76,broken clouds,-2.8856,-40.12,castelo pizzaria
220,Mananjary,MG,77.38,scattered clouds,-21.2167,48.3333,Vahiny Lodge
221,Kavieng,PG,80.73,light rain,-2.5744,150.7967,Nusa Island Retreat
224,Papetoai,PF,83.55,light rain,-17.4961,-149.8729,Fare Vaihere
226,Grand Gaube,MU,77.4,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
231,Cabo San Lucas,MX,78.1,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
237,Namatanai,PG,78.71,light rain,-3.6667,152.4333,Seagulls Inn Namatani
239,Libertad,PH,72.75,overcast clouds,8.9442,125.5019,Almont City Hotel
240,Samarai,PG,81.01,overcast clouds,-10.6167,150.6667,Nuli Sapi
242,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
244,Bambous Virieux,MU,77.25,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
245,West Bay,KY,83.07,broken clouds,19.3667,-81.4167,Calypso Cove
253,Ponta Do Sol,PT,70.72,overcast clouds,32.6667,-17.1,Hotel do Campo
257,Pringsewu,ID,73.02,overcast clouds,-5.3582,104.9744,Urban Style by Front One
261,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
265,Tual,ID,82.63,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
266,Chilca,PE,81.61,overcast clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
269,Phan Thiet,VN,74.1,scattered clouds,10.9333,108.1,Hotel Saigon-PT
272,Tawau,MY,77.32,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
273,Twentynine Palms,US,74.34,clear sky,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
274,Puerto Escondido,MX,81.79,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
282,Komatipoort,ZA,82.06,clear sky,-25.4332,31.9548,Kruger View Backpackers
286,Tessalit,ML,75.13,clear sky,20.1986,1.0114,
291,Guaraniacu,BR,84.94,clear sky,-25.1008,-52.8781,Dalla´s Hotel
293,Caravelas,BR,84.96,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
294,Sinnamary,GF,79.38,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
297,Port Hedland,AU,78.85,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
